Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,394.24375,-104.35,180.0,bottom
C1,384.980327,-108.863423,270.0,bottom
C10,369.49375,-104.6,270.0,bottom
C2,369.74375,-101.85,90.0,bottom
C3,372.74375,-103.1,90.0,bottom
C4,372.99375,-111.85,0.0,bottom
C5,381.49375,-102.85,180.0,bottom
C6,382.99375,-103.35,90.0,bottom
C7,383.730327,-108.863423,90.0,bottom
C8,362.74375,-104.35,0.0,bottom
C9,365.99375,-105.85,0.0,bottom
D1,47.6,-42.65,90.0,bottom
D10,257.15,-42.65,90.0,bottom
D100,126.18125,-147.425,90.0,bottom
D101,197.61875,-147.425,90.0,bottom
D102,269.05625,-147.425,90.0,bottom
D103,292.86875,-147.425,90.0,bottom
D104,316.68125,-147.425,90.0,bottom
D105,340.49375,-147.425,90.0,bottom
D106,366.6875,-147.425,90.0,bottom
D107,385.7375,-147.425,90.0,bottom
D108,404.7875,-147.425,90.0,bottom
D109,436.9,-147.425,90.0,bottom
D11,285.725,-42.65,90.0,bottom
D110,464.1,-147.425,90.0,bottom
D111,421.7,-47.7,90.0,bottom
D112,459.7,-47.7,90.0,bottom
D12,304.775,-42.65,90.0,bottom
D13,323.825,-42.65,90.0,bottom
D14,342.875,-42.65,90.0,bottom
D15,366.6875,-42.65,90.0,bottom
D16,385.7375,-42.65,90.0,bottom
D17,404.7875,-42.65,90.0,bottom
D18,47.6,-63.605,90.0,bottom
D19,76.175,-71.225,90.0,bottom
D2,76.175,-42.65,90.0,bottom
D20,95.225,-71.225,90.0,bottom
D21,114.275,-71.225,90.0,bottom
D22,133.325,-71.225,90.0,bottom
D23,152.375,-71.225,90.0,bottom
D24,171.425,-71.225,90.0,bottom
D25,190.475,-71.225,90.0,bottom
D26,209.525,-71.225,90.0,bottom
D27,228.575,-71.225,90.0,bottom
D28,247.625,-71.225,90.0,bottom
D29,266.675,-71.225,90.0,bottom
D3,114.275,-42.65,90.0,bottom
D30,285.725,-71.225,90.0,bottom
D31,304.775,-71.225,90.0,bottom
D32,333.375,-69.05625,90.0,bottom
D33,366.6875,-71.225,90.0,bottom
D34,385.7375,-71.225,90.0,bottom
D35,404.7875,-71.225,90.0,bottom
D36,428.6,-71.225,90.0,bottom
D37,447.65,-71.225,90.0,bottom
D38,466.7,-71.225,90.0,bottom
D39,476.3,-78.825,90.0,bottom
D4,133.325,-42.65,90.0,bottom
D40,47.6,-84.56,90.0,bottom
D41,80.9375,-90.275,90.0,bottom
D42,104.75,-90.275,90.0,bottom
D43,123.8,-90.275,90.0,bottom
D44,142.85,-90.275,90.0,bottom
D45,161.9,-90.275,90.0,bottom
D46,180.95,-90.275,90.0,bottom
D47,200.0,-90.275,90.0,bottom
D48,219.05,-90.275,90.0,bottom
D49,238.1,-90.275,90.0,bottom
D5,152.375,-42.65,90.0,bottom
D50,257.15,-90.275,90.0,bottom
D51,276.2,-90.275,90.0,bottom
D52,295.25,-90.275,90.0,bottom
D53,314.3,-90.275,90.0,bottom
D54,338.1125,-90.275,90.0,bottom
D55,366.6875,-90.275,90.0,bottom
D56,385.7375,-90.275,90.0,bottom
D57,404.7875,-90.275,90.0,bottom
D58,428.6,-90.275,90.0,bottom
D59,447.65,-90.275,90.0,bottom
D6,171.425,-42.65,90.0,bottom
D60,466.725,-88.9,90.0,bottom
D61,476.3,-107.4,90.0,bottom
D62,47.6,-105.515,90.0,bottom
D63,83.31875,-109.325,90.0,bottom
D64,109.5125,-109.325,90.0,bottom
D65,128.5625,-109.325,90.0,bottom
D66,147.6125,-109.325,90.0,bottom
D67,166.6625,-109.325,90.0,bottom
D68,185.7125,-109.325,90.0,bottom
D69,204.7625,-109.325,90.0,bottom
D7,200.0,-42.65,90.0,bottom
D70,223.8125,-109.325,90.0,bottom
D71,242.8625,-109.325,90.0,bottom
D72,261.9125,-109.325,90.0,bottom
D73,280.9625,-109.325,90.0,bottom
D74,300.0125,-109.325,90.0,bottom
D75,329.7,-109.325,90.0,bottom
D76,428.6,-109.325,90.0,bottom
D77,447.65,-109.325,90.0,bottom
D78,464.1,-109.325,90.0,bottom
D79,47.6,-126.47,90.0,bottom
D8,219.05,-42.65,90.0,bottom
D80,88.08125,-126.603125,90.0,bottom
D81,119.0375,-128.375,90.0,bottom
D82,138.0875,-128.375,90.0,bottom
D83,157.1375,-128.375,90.0,bottom
D84,176.1875,-128.375,90.0,bottom
D85,195.2375,-128.375,90.0,bottom
D86,214.2875,-128.375,90.0,bottom
D87,233.3375,-128.375,90.0,bottom
D88,252.3875,-128.375,90.0,bottom
D89,271.4375,-128.375,90.0,bottom
D9,238.1,-42.65,90.0,bottom
D90,290.4875,-128.375,90.0,bottom
D91,324.9,-128.375,90.0,bottom
D92,385.7375,-128.375,90.0,bottom
D93,428.6,-128.375,90.0,bottom
